line,id,speaker,text,ami_label,link,relationship,api_labels,api_components
1,0,Programmer,Hi Apiza,BE-POSITIVE,,,,
2,1,Apiza,Hello! ,BE-POSITIVE,0,POS,,
2,2,Apiza,"I am Apiza, a virtual assistant designed to help you navigate and use APIs. ",INFORM,,,,
2,3,Apiza,How can I help?,ELICIT-OFFER-OR-SUGGESTION,,,,
3,4,Programmer,What is the definition of structure of ALLERGO_EVENT,ELICIT-INFORM,,,structure basic,ALLEGRO_EVENT
4,5,Programmer,?,OTHER,4,CONT,,
5,6,Apiza,I found the following description for ALLEGRO_EVENT:\n\n,INFORM,4,POS,,ALLEGRO_EVENT
5,7,Apiza,"An ALLEGRO_EVENT is a union of all builtin event structures, i.e. it is an object large enough to hold the data of any event type. ",INFORM,6,CONT,basic quality,ALLEGRO_EVENT
5,8,Apiza,All events have the following fields in common:\n\ntype (ALLEGRO_EVENT_TYPE)\n\tIndicates the type of event.\nany.source (ALLEGRO_EVENT_SOURCE *)\n\tThe event source which generated the event.\nany.timestamp (double)\n\tWhen the event was generated.,INFORM,7,CONT,structure,ALLEGRO_EVENT
6,9,Programmer,What are the possible values for ALLERGO_EVENT_TYPE,ELICIT-INFORM,8,FOL,structure,ALLEGRO_EVENT ALLEGRO_EVENT_TYPE
7,10,Programmer,And ALLERGO_EVENT_SOURCE,ELICIT-INFORM,9,FOL,structure,ALLEGRO_EVENT ALLEGRO_EVENT_SOURCE
8,11,Apiza,"ALLERGO_EVENT_TYPE is an enum with several values, including ALLEGRO_EVENT_JOYSTICK_AXIS , ALLEGRO_EVENT_KEY_DOWN , and ALLEGRO_EVENT_MOUSE_AXES. There are 30 different values in total. ",INFORM,10,POS,structure basic,ALLEGRO_EVENT_TYPE
8,12,Apiza,Are you looking for one type in particular?,ELICIT-INFORM,11,FOL,structure,ALLEGRO_EVENT_TYPE
9,13,Apiza,I found the following description of ALLEGRO_EVENT_SOURCE:\n\n,INFORM,10,POS,,ALLEGRO_EVENT_SOURCE
9,14,Apiza,"An event source is any object which can generate events. For example, an ALLEGRO_DISPLAY can generate events, and you can get the ALLEGRO_EVENT_SOURCE pointer from an ALLEGRO_DISPLAY with al_get_display_event_source.\n\nYou may create your own ""user"" event sources that emit custom events.",INFORM,13,CONT,concepts patterns,ALLEGRO_EVENT_SOURCE
10,15,Programmer,Please tell me more about ALlERGO_EVENT_KEY events,ELICIT-INFORM,11,FOL,basic,
11,16,Apiza,"There are three different types of EVENT_KEY events: ALLEGRO_EVENT_KEY_DOWN, ALLEGRO_EVENT_KEY_UP, and ALLEGRO_EVENT_KEY_CHAR",INFORM,15,POS,structure,
12,17,Programmer,Is there allergo_event key left and key right,ELICIT-INFORM,,,structure,
13,18,Apiza,I found two Key codes: ALLEGRO_KEY_LEFT and ALLEGRO_KEY_RIGHT. ,INFORM,17,POS,structure,
13,19,Apiza,These can be used with keyboard routines such as al_key_down,INFORM,18,FOL,patterns,al_key_down
14,20,Programmer,Tell me more about al_key routines,ELICIT-INFORM,19,FOL,basic,
15,21,Apiza,There are 9 functions directly relating to the keyboard:\n\nal_install_keyboard\nal_is_keyboard_installed\nal_uninstall_keyboard\nal_get_keyboard_state\nal_clear_keyboard_state\nal_key_down\nal_keycode_to_name\nal_set_keyboard_leds\nal_get_keyboard_event_source,INFORM,20,POS,structure,
16,22,Programmer,What function plays an audio file?,ELICIT-INFORM,,,patterns,
17,23,Apiza,There are many function related to Audio playback. ,INFORM,22,PART,structure,
17,24,Apiza,al_play_sample plays a given ALLEGRO_SAMPLE.\n ,INFORM,22,POS,patterns,al_play_sample ALLEGRO_SAMPLE
17,25,Apiza,"bool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)",INFORM,24,CONT,basic,al_play_sample ALLEGRO_SAMPLE
18,26,Apiza,Would you like help loading and playing an ALLEGRO_SAMPLE?,OFFER,22,FOL,patterns,ALLEGRO_SAMPLE
19,27,Programmer,Yes,INFORM,26,POS,patterns,
20,28,Apiza,Sure thing! ,BE-POSITIVE,27,POS,,
20,29,Apiza,It looks like this is how you could load and play an audio file:\n\n\n ,SUGGEST,27,POS,examples,
20,30,Apiza,"ALLEGRO_SAMPLE *sample=NULL;\n\t\n if(!al_install_audio()){\n fprintf(stderr, ""failed to initialize audio!\\n"");\n return -1;\n }\n\t\n if (!al_reserve_samples(1)){\n fprintf(stderr, ""failed to reserve samples!\\n"");\n return -1;\n }\n\t\n sample = al_load_sample( ""footstep.wav"" );\n\n if (!sample){\n printf( ""Audio clip sample not loaded!\\n"" );\n return -1;\n }\n\n al_play_sample(sample, 1.0, 0.0,1.0,ALLEGRO_PLAYMODE_LOOP,NULL);\n\t\n al_destroy_sample(sample);",INFORM,29,CONT,examples,
21,31,Programmer,Why is allergo sample* mistaken as int*,ELICIT-INFORM,25,FOL,functionality,ALLEGRO_SAMPLE
22,32,Programmer,What does the function al_load_sample return,ELICIT-INFORM,30,FOL,functionality,al_load_sample
23,33,Apiza,The al_load_sample function looks like this: ,INFORM,32,POS,,al_load_sample
23,34,Apiza,ALLEGRO_SAMPLE *al_load_sample(const char *filename)\n\n,INFORM,33,CONT,basic,al_load_sample
23,35,Apiza,"Returns the sample on success, NULL on failure.",INFORM,34,CONT,functionality,al_load_sample
24,36,Apiza,"For sample-loading errors, it look like you may need to initialize the ""audio codec add-on"". Use `al_init_acodec_addon()` to initialize the audio codec.",SUGGEST,31,POS,patterns,al_init_acodec_addon
25,37,Programmer,Can you help me with fuctions that draw bitmap,ELICIT-OFFER-OR-SUGGESTION,,,patterns,
26,38,Apiza,I'm happy to help! ,BE-POSITIVE,37,POS,,
26,39,Apiza,Where would you like to start with bitmap drawing?,ELICIT-INFORM,37,FOL,patterns,
27,40,Programmer,I want to draw a png,INFORM,39,POS,patterns,
28,41,Apiza,"Alright, the variable that you will need to initialize is an ALLEGRO_BITMAP. You can do so with the function al_create_bitmap: ",SUGGEST,40,POS,patterns,ALLEGRO_BITMAP al_create_bitmap
28,42,Apiza,"ALLEGRO_BITMAP *al_create_bitmap(int w, int h)",INFORM,41,CONT,basic,ALLEGRO_BITMAP al_create_bitmap
29,43,Programmer,What function takes a png file as input and draws a bitmap?,ELICIT-INFORM,,,patterns,
30,44,Apiza,ALLEGRO_BITMAP *al_load_bitmap(const char *filename)\n\n,INFORM,43,POS,basic patterns,al_load_bitmap
30,45,Apiza,Loads an image file into a new ALLEGRO_BITMAP. ,INFORM,44,CONT,functionality,al_load_bitmap
30,46,Apiza,"The file type is determined by the extension, except if the file has no extension in which case al_identify_bitmap is used instead.\n\nReturns NULL on error.",INFORM,45,CONT,functionality control,al_load_bitmap
31,47,Programmer,Load bitmap returns null,INFORM,46,FOL,functionality,al_load_bitmap
32,48,Apiza,"If you\'re getting errors loading an image, you may need to initialize the ""image addon."" ",SUGGEST,47,POS,patterns,
32,49,Apiza,You can do this using al_init_image_addon(),SUGGEST,48,CONT,patterns,al_init_image_addon
33,50,Programmer,Image not displayed event after loading the png in bitmap?,ELICIT-OFFER-OR-SUGGESTION,46,FOL,functionality,al_load_bitmap
34,51,Apiza,"Sorry, ",BE-POSITIVE,50,UNC,,
34,52,Apiza,could you rephrase your question?,COMMENT-ABOUT-UNDERSTANDING,51,CONT,,
