line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,what is the function to read keyboard input?,ELICIT-INFORM,,,patterns,,
2,1,Programmer,what is the function to read keyboard input?,ELICIT-INFORM,,,patterns,,
3,2,Apiza,Here is a function that might help with that:\n\n,INFORM,,,patterns basic,,
3,3,Apiza,"```bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)```",INFORM,,,patterns basic,,
4,4,Programmer,what is the api for allocating ALLEGRO_KEYBOARD_STATE?,ELICIT-INFORM,,,patterns,,
5,5,Apiza,Here is a function that might help with that:\n\n,INFORM,,,patterns basic,,
5,6,Apiza,```void al_clear_keyboard_state(ALLEGRO_DISPLAY *display)```,INFORM,,,patterns basic,,
6,7,Programmer,give me example of al_key_down usage,ELICIT-INFORM,,,examples,,
7,8,Apiza,Here is an example of keyboard input:\n\n,INFORM,,,examples references,,
7,9,Apiza,<https://wiki.allegro.cc/index.php?title=Basic_Keyboard_Example>,INFORM,,,examples references,,
8,10,Programmer,how to you play an audio wav file,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
9,11,Apiza,Here is a function that might help with that:\n\n,SUGGEST,,,patterns basic,,
9,12,Apiza,"```\nbool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)\n```",INFORM,,,patterns basic,,
10,13,Programmer,give me example of playing a wav file,ELICIT-INFORM,,,examples,,
11,14,Apiza,Here is an example of playing a wav file:\n\n,INFORM,,,examples,,
11,15,Apiza,<https://wiki.allegro.cc/index.php?title=Allegro_5_Tutorial/Addons/Audio>,INFORM,,,examples,,
12,16,Programmer,what is the function to display numbers on screen,ELICIT-INFORM,,,patterns,,
13,17,Apiza,Here is a function that might help with that:\n\n,INFORM,,,patterns basic,,
13,18,Apiza,"```\nALLEGRO_DISPLAY *al_create_display(int w, int h)\n```",INFORM,,,patterns basic,,
14,19,Programmer,give me example of display numbers to display,ELICIT-INFORM,,,examples,,
15,20,Apiza,Here is an example of using displays:\n\n,INFORM,,,examples,,
15,21,Apiza,<https://wiki.allegro.cc/index.php?title=Allegro_5_Tutorial/Displays>,INFORM,,,examples,,
16,22,Programmer,how to draw text on display,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
17,23,Apiza,Here is a function that might help with that:\n\n,SUGGEST,,,patterns basic,,
17,24,Apiza,"```\nvoid al_draw_text(const ALLEGRO_FONT *font,\n ALLEGRO_COLOR color, float x, float y, int flags,\n char const *text) \n```",INFORM,,,patterns basic,,
18,25,Programmer,how to get size of display,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
19,26,Apiza,Here is a function that might help with that:\n\n,SUGGEST,,,patterns basic,,
19,27,Apiza,```\nint al_get_display_width(ALLEGRO_DISPLAY *display)\n```,INFORM,,,patterns basic,,
20,28,Programmer,show me example of using al_draw_text,ELICIT-INFORM,,,examples,,
21,29,Apiza,Here is an example of drawing text:\n\n,INFORM,,,examples,,
