line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,Anyone there?,ELICIT-COMMENT-ABOUT-UNDERSTANDING,,,,,
2,1,Apiza,Hi! ,BE-POSITIVE,,,,,
2,2,Apiza,"I am Apiza, a virtual assistant built to help you navigate the Allegro API. ",INFORM,,,,,
2,3,Apiza,How can I help you?,ELICIT-OFFER-OR-SUGGESTION,,,,,
3,4,Programmer,What functions are provided for keyboard input?,ELICIT-INFORM,,,structure,,
4,5,Apiza,"I found the following functions labelled as ""Keyboard routines"":\n\n",INFORM,4,POS,,,
4,6,Apiza,al_install_keyboard\nal_is_keyboard_installed\nal_uninstall_keyboard\nal_get_keyboard_state\nal_clear_keyboard_state\nal_key_down\nal_keycode_to_name\nal_set_keyboard_leds\nal_get_keyboard_event_source,INFORM,5,CONT,structure,,
5,7,Programmer,what is the parameter list of ai_install_keyboard,ELICIT-INFORM,,,basic,al_install_keyboard,
6,8,Apiza,bool al_install_keyboard(void),INFORM,7,POS,basic,al_install_keyboard,
7,9,Programmer,When does ai_install_keyboard return true?,ELICIT-INFORM,,,functionality,al_install_keyboard,
8,10,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,9,POS,functionality,al_install_keyboard,
9,11,Programmer,What is the parameter list of al_uninstall_keyboard,ELICIT-INFORM,,,basic,al_uninstall_keyboard,
10,12,Apiza,void al_uninstall_keyboard(void),INFORM,11,POS,basic,al_uninstall_keyboard,
11,13,Programmer,How can I implement keyboard input?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
12,14,Apiza,"To get keyboard input, you can utilize the ALLEGRO_EVENT struct. ",SUGGEST,13,POS,patterns,ALLEGRO_EVENT,
12,15,Apiza,"The event types ALLEGRO_EVENT_KEY_DOWN, ALLEGRO_EVENT_KEY_UP, and ALLEGRO_EVENT_KEY_CHAR allow you to get keys pressed or released in event.keyboard.keycode",INFORM,14,CONT,patterns,ALLEGRO_EVENT,
13,16,Programmer,What is the parameter list for al_get_keyboard_event_source?,ELICIT-INFORM,,,basic,al_get_keyboard_event_source,
14,17,Apiza,ALLEGRO_EVENT_SOURCE *al_get_keyboard_event_source(void),INFORM,16,POS,basic,al_get_keyboard_event_source,
15,18,Programmer,What type is event.keyboard.keycode,ELICIT-INFORM,15,FOL,basic,ALLEGRO_EVENT,
16,19,Apiza,keyboard.keycode (int)\nThe code corresponding to the physical key which was pressed.,INFORM,18,POS,concepts basic,ALLEGRO_EVENT,
17,20,Programmer,How can I play sound effects?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
18,21,Apiza,The simplest method to Play Sound is al_play_sample:\n\n,SUGGEST,20,POS,patterns,al_play_sample,
18,22,Apiza,"```bool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)```\n\n",INFORM,21,CONT,basic,al_play_sample,
18,23,Apiza,"To use al_play_sample, you must first install the audio subsystem, the audio codec addon, reserve samples, and load sample",SUGGEST,22,CONT,directives,al_play_sample,
19,24,Programmer,How do I install the audio subsystem?,ELICIT-OFFER-OR-SUGGESTION,23,FOL,patterns,,
20,25,Apiza,This should install the audio subsystem:\n\n,SUGGEST,24,POS,patterns,,
20,26,Apiza,```bool al_install_audio(void)```\n\n,INFORM,25,CONT,basic,al_install_audio,
20,27,Apiza,Install the audio subsystem.,INFORM,26,CONT,basic,al_install_audio,
21,28,Programmer,How can I install an audio codec addon?,ELICIT-OFFER-OR-SUGGESTION,23,FOL,patterns,,
22,29,Apiza,```bool al_init_acodec_addon(void)```\n\n,INFORM,28,POS,basic,al_init_acodec_addon,
22,30,Apiza,"This function registers all the known audio file type handlers for al_load_sample, al_save_sample, al_load_audio_stream, etc.",INFORM,29,CONT,functionality patterns,al_init_acodec_addon,
23,31,Programmer,How can I reserve and load audio samples?,ELICIT-OFFER-OR-SUGGESTION,23,FOL,patterns,,
24,32,Apiza,*Reserve audio samples:\n\n```bool al_reserve_samples(int reserve_samples)```\n,INFORM,31,POS,basic,al_reserve_samples,
24,33,Apiza,"Reserves a number of sample instances, attaching them to the default mixer.\n\n",INFORM,32,CONT,functionality,al_reserve_samples,
24,34,Apiza,*Load audio samples:\n\n```ALLEGRO_SAMPLE *al_load_sample(const char *filename)```\n,INFORM,33,CONT,basic,al_load_sample,
24,35,Apiza,Loads a few different audio file formats based on their extension.,INFORM,34,CONT,functionality,al_load_sample,
25,36,Programmer,Where are the samples allocated?,ELICIT-INFORM,34,FOL,functionality,al_load_sample,
26,37,Apiza,Audio samples are contained within the ALLEGRO_SAMPLE struct.,INFORM,36,POS,functionality,al_load_sample ALLEGRO_SAMPLE,
27,38,Apiza,plauy,OTHER,,,,,
28,39,Programmer,Is this created by al_reserve_samples?,ELICIT-INFORM,37,FOL,functionality,al_reserve_samples ALLEGRO_SAMPLE,
29,40,Apiza,"al_reserve_samples Returns true on success, false on error.\n\n",INFORM,39,POS,functionality,al_reserve_samples,
29,41,Apiza,"al_load_sample Returns the sample on success, NULL on failure.",INFORM,40,CONT,functionality,al_load_sample,
30,42,Programmer,is there a function to free samples?,ELICIT-INFORM,34,FOL,patterns,,
31,43,Apiza,al_destroy_sample should work:\n\n,SUGGEST,42,POS,patterns,al_destroy_sample,
31,44,Apiza,```void al_destroy_sample(ALLEGRO_SAMPLE *spl)```\n\n,INFORM,43,CONT,basic,al_destroy_sample,
31,45,Apiza,Free the sample data structure.,INFORM,44,CONT,functionality,al_destroy_sample,
32,46,Programmer,What are possible values for ALLEGRO_PLAYNODE?,ELICIT-INFORM,22,FOL,structure,ALLEGRO_PLAYMODE al_play_sample,
33,47,Apiza,enum ALLEGRO_PLAYMODE\n\n,OTHER,46,POS,basic,ALLEGRO_PLAYMODE,
33,48,Apiza,Description: Sample and stream playback mode.\n\n,INFORM,47,CONT,basic,ALLEGRO_PLAYMODE,
33,49,Apiza,Values:\nALLEGRO_PLAYMODE_ONCE\nALLEGRO_PLAYMODE_LOOP\nALLEGRO_PLAYMODE_BIDIR,INFORM,48,CONT,structure,ALLEGRO_PLAYMODE,
34,50,Programmer,What is the purpose of the last parameter in al_play_sample? (ALLEGRO_SAMPLE_ID *ret_id),ELICIT-INFORM,22,FOL,functionality,al_play_sample,
35,51,Apiza,"ret_id - if non-NULL the variable which this points to will be assigned an id representing the sample being played. If al_play_sample returns false, then the contents of ret_id are invalid and must not be used as argument to other functions.",INFORM,50,POS,functionality directives,al_play_sample,
36,52,Programmer,How can I display text within the window frame?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
37,53,Apiza,The simplest method to Display text in window frame is al_draw_text:\n\n,SUGGEST,52,POS,patterns,al_draw_text,
37,54,Apiza,"```void al_draw_text(const ALLEGRO_FONT *font,\n ALLEGRO_COLOR color, float x, float y, int flags,\n char const *text) ```\n\n",INFORM,53,CONT,basic,al_draw_text,
37,55,Apiza,This requires the ALLEGRO_FONT add-on.,INFORM,54,CONT,directives,al_draw_text ALLEGRO_FONT,
38,56,Programmer,How can I initialize the ALLEGRO_FONT add-on?,ELICIT-OFFER-OR-SUGGESTION,55,FOL,patterns,ALLEGRO_FONT,
39,57,Apiza,```bool al_init_font_addon(void)```\n\n,INFORM,56,POS,basic,ALLEGRO_FONT al_init_font_addon,
39,58,Apiza,Initialise the font addon.,INFORM,57,CONT,basic,al_init_font_addon,
40,59,Programmer,How can I load a font?,ELICIT-OFFER-OR-SUGGESTION,54,FOL,patterns,,
41,60,Apiza,The simplest method to Load a font is al_load_font:\n\n,SUGGEST,59,POS,patterns,al_load_font,
41,61,Apiza,"```ALLEGRO_FONT *al_load_font(char const *filename, int size, int flags)```\n\n",INFORM,60,CONT,basic,al_load_font,
41,62,Apiza,Loads a font from disk.,INFORM,61,CONT,basic,al_load_font,
42,63,Programmer,What are the parameters size and flags?,ELICIT-INFORM,61,FOL,concepts basic,al_load_font,
43,64,Apiza,The size parameter is an int.\n\nThe flags parameter is passed through to either of those functions. Bitmap and TTF fonts are also affected by the current bitmap flags at the time the font is loaded.,INFORM,63,POS,functionality basic,al_load_font,
44,65,Programmer,What is the size of a font?,ELICIT-INFORM,64,FOL,concepts,al_load_font,
45,66,Programmer,What are possible values for flags?,ELICIT-INFORM,64,FOL,directives,al_load_font,
46,67,Apiza,I found a description of the int size for the similar method al_load_ttf_font:\n\n,INFORM,65,POS,,al_load_font,
46,68,Apiza,"The size parameter determines the size the font will be rendered at, specified in pixels.",INFORM,67,CONT,concepts,al_load_font,
47,69,Apiza,I found this list of supported values for the int flags:\n\n,INFORM,66,POS,,al_load_font,
