pro_id,wiz_id,lib,num_pro_mess,avg_pro_len,num_wiz_mess,avg_wiz_len,num_tot_mess,avg_tot_len,total_score,total_exit,e1_expected_behavior,e2_comprehension,e3_comparable_interface,e4_future_use,e5_task_ease,e6_comprehensibility,e7_system_response,e8_user_expertise,e9_interaction_pace,,
28,6,1,27,5.555555556,21,75.14285714,48,36,6,42,5,5,5,5,4,5,4,5,4,,
25,6,1,19,6.684210526,16,61.125,35,31.57142857,5,39,4,4,5,5,4,5,4,4,4,,
26,4,1,7,6.285714286,6,60,13,31.07692308,4,42,5,5,3,5,5,5,5,5,4,,
27,6,1,30,8.4,30,74.03333333,60,41.21666667,12,39,5,5,4,4,5,5,3,5,3,,
21,4,1,30,3.633333333,25,73.36,55,35.32727273,6,18,2,3,1,1,2,5,1,2,1,,
16,1,1,35,5.285714286,32,28.3125,67,16.28358209,5,37,5,5,3,3,5,5,3,5,3,,
17,1,1,46,7.326086957,48,20.8125,94,14.21276596,7,35,5,4,3,3,5,5,4,4,2,,
24,3,1,32,5.78125,35,15.57142857,67,10.89552239,1,21,3,2,2,1,2,4,3,2,2,,
19,3,1,31,4.580645161,31,17.25806452,62,10.91935484,4,17,3,3,1,1,2,3,1,2,1,,
18,1,1,25,5.68,20,39.15,45,20.55555556,5,31,3,5,3,1,5,5,1,5,3,,
15,1,1,17,6,17,26.11764706,34,16.05882353,4,24,4,4,2,2,2,4,2,3,1,,
20,4,1,24,6.75,23,23.82608696,47,15.10638298,6,26,4,4,2,2,3,4,2,3,2,,
23,3,1,52,3.942307692,75,25.61333333,127,16.74015748,8,20,2,3,2,1,2,4,2,2,2,,
30,2,1,44,6.636363636,44,19.13636364,88,12.88636364,5,37,5,5,4,4,4,5,3,3,4,,
22,2,1,38,5.605263158,40,24.55,78,15.32051282,3,35,5,5,2,3,4,5,5,3,3,,
12,4,0,27,3.185185185,26,65.76923077,53,33.88679245,16,33,3,4,3,2,5,5,3,4,4,,
13,4,0,26,9.192307692,25,73.56,51,40.74509804,15,27,3,4,3,4,3,4,2,2,2,,
4,1,0,39,6.769230769,39,23.53846154,78,15.15384615,26,35,4,5,3,4,4,5,3,5,2,,
10,2,0,41,5.756097561,43,12.81395349,84,9.369047619,6,26,4,3,2,3,1,5,2,4,2,,
14,1,0,27,4.185185185,28,44.89285714,55,24.90909091,6,21,3,3,2,3,2,2,2,2,2,,
2,1,0,37,4.297297297,29,25.75862069,66,13.72727273,0,13,1,2,1,1,1,4,1,1,1,,
8,5,0,34,9.676470588,26,60.23076923,60,31.58333333,12,32,4,3,4,4,3,4,3,4,3,,
9,2,0,30,6.433333333,27,19.85185185,57,12.78947368,6,42,5,5,5,5,4,5,4,5,4,,
11,4,0,26,8.269230769,22,51.09090909,48,27.89583333,25,41,4,4,5,5,4,5,4,5,5,,
6,1,0,28,11.82142857,30,40.9,58,26.86206897,15,34,5,4,4,4,4,4,4,3,2,,
7,3,0,67,3.567164179,49,35.46938776,116,17.04310345,18,28,4,3,5,2,2,4,2,4,2,,
1,1,0,24,7.291666667,22,19.04545455,46,12.91304348,11,36,4,5,2,2,5,5,3,5,5,,
3,2,0,41,6.804878049,40,17.025,81,11.85185185,20,38,5,5,5,5,5,5,2,5,1,,
5,1,0,40,6.4,35,37.97142857,75,21.13333333,24,35,3,5,3,4,4,4,4,5,3,,
29,3,0,49,5.897959184,50,19.18,99,12.60606061,5,24,5,2,1,1,1,5,3,2,4,,`
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
