Session	Library	Programmer	Wizard
1	libssh	Programmer_1	Wizard_1
2	libssh	Programmer_2	Wizard_1
3	libssh	Programmer_3	Wizard_2
4	libssh	Programmer_4	Wizard_1
5	libssh	Programmer_5	Wizard_1
6	libssh	Programmer_6	Wizard_1
7	libssh	Programmer_7	Wizard_3
8	libssh	Programmer_8	Wizard_5
9	libssh	Programmer_9	Wizard_2
10	libssh	Programmer_10	Wizard_2
11	libssh	Programmer_11	Wizard_4
12	libssh	Programmer_12	Wizard_4
13	libssh	Programmer_13	Wizard_4
14	libssh	Programmer_14	Wizard_1
15	allegro	Programmer_15	Wizard_1
16	allegro	Programmer_16	Wizard_1
17	allegro	Programmer_17	Wizard_1
18	allegro	Programmer_18	Wizard_1
19	allegro	Programmer_19	Wizard_3
20	allegro	Programmer_20	Wizard_4
21	allegro	Programmer_21	Wizard_4
22	allegro	Programmer_22	Wizard_2
23	allegro	Programmer_23	Wizard_3
24	allegro	Programmer_24	Wizard_3
25	allegro	Programmer_25	Wizard_6
26	allegro	Programmer_26	Wizard_4
27	allegro	Programmer_27	Wizard_6
28	allegro	Programmer_28	Wizard_6
29	libssh	Programmer_29	Wizard_3
30	allegro	Programmer_30	Wizard_2
